Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-02-03,4.103,4.15,3.925,4.016,24659917,0,0
2021-02-04,4.1,4.34,4.064,4.317,40878743,0,0
2021-02-05,4.301,4.442,4.26,4.421,35813250,0,0
2021-02-08,4.472,4.524,4.41,4.489,21637405,0,0
2021-02-09,4.484,4.489,4.361,4.378,14276780,0,0
2021-02-10,4.4,4.461,4.362,4.394,30183781,0,0
2021-02-11,4.394,4.416,4.322,4.382,11088054,0,0
2021-02-12,4.367,4.406,4.257,4.4,16971411,0,0
2021-02-15,4.488,4.587,4.458,4.566,15305315,0,0
2021-02-16,4.52,4.544,4.446,4.507,18287664,0,0
2021-02-17,4.495,4.551,4.404,4.448,16269546,0,0
2021-02-18,4.426,4.499,4.385,4.449,19760444,0,0
2021-02-19,4.446,4.538,4.391,4.505,15370429,0,0
2021-02-22,4.48,4.507,4.41,4.474,17051887,0,0
2021-02-23,4.482,4.62,4.482,4.59,28838962,0,0
2021-02-24,4.59,4.63,4.542,4.63,15645544,0,0
2021-02-25,4.7,4.808,4.672,4.704,27426358,0,0
2021-02-26,4.594,4.69,4.541,4.603,23371217,0,0
2021-03-01,4.669,4.7,4.581,4.61,14453255,0,0
2021-03-02,4.572,4.639,4.534,4.563,13274103,0,0
2021-03-03,4.597,4.737,4.596,4.699,18290382,0,0
2021-03-04,4.63,4.699,4.611,4.673,15817550,0,0
2021-03-05,4.65,4.789,4.581,4.703,20250039,0,0
2021-03-08,4.79,4.838,4.744,4.8,16964482,0,0
2021-03-09,4.78,4.782,4.607,4.712,25519968,0,0
2021-03-10,4.7,4.784,4.647,4.65,21383383,0,0
2021-03-11,4.731,4.764,4.585,4.674,16524852,0,0
2021-03-12,4.68,4.81,4.679,4.775,15182254,0,0
2021-03-15,4.779,4.823,4.64,4.699,15630085,0,0
2021-03-16,4.725,4.79,4.634,4.674,18251836,0,0
2021-03-17,4.695,4.812,4.67,4.771,19986398,0,0
2021-03-18,4.81,4.897,4.747,4.864,22255064,0,0
2021-03-19,4.806,4.808,4.67,4.678,32876983,0,0
2021-03-22,4.438,4.453,4.312,4.317,48750221,0,0
2021-03-23,4.328,4.384,4.301,4.337,24111447,0,0
2021-03-24,4.29,4.395,4.225,4.395,16671245,0,0
2021-03-25,4.38,4.381,4.273,4.356,12275900,0,0
2021-03-26,4.42,4.48,4.378,4.433,18252624,0,0
2021-03-29,4.4,4.462,4.365,4.367,16581640,0,0
2021-03-30,4.424,4.51,4.424,4.499,17184277,0,0
2021-03-31,4.46,4.522,4.426,4.426,12792146,0,0
2021-04-01,4.457,4.484,4.428,4.4455,9423887,0,0
2021-04-06,4.531,4.593,4.5,4.5265,15071444,0,0
2021-04-07,4.509,4.566,4.489,4.518,11160563,0,0
2021-04-08,4.556,4.5645,4.4435,4.5385,15852148,0,0
2021-04-09,4.535,4.562,4.431,4.431,17166477,0,0
2021-04-12,4.41,4.4785,4.36,4.477,14217346,0,0
2021-04-13,4.457,4.5125,4.388,4.421,16116832,0,0
2021-04-14,4.4285,4.496,4.4045,4.4305,4095468,0,0
